part,alpha_deg,beta_deg,pose_id,sim_count,sim_freq_pct,geom_CSA_B_pct,geom_CSA_A_pct,geom_CSA_N_pct,geom_CRSA_B_pct,geom_CRSA_A_pct,geom_CRSA_N_pct,ratio_wall,thresh_wall,ratio_floor,thresh_floor,geom_notes,flagged_unstable_by_geometry
Ql4i,35.0,15.0,8,2,0.1299545159194282,0.0,0.0,1.61,0.0,0.0,0.31,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,9,2,0.1299545159194282,0.0,0.0,4.54,0.0,0.0,2.17,4.0,2.731,0.944,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,10,238,15.464587394411955,12.91,12.91,6.73,12.87,12.46,10.0,0.25,2.731,0.236,2.296,-,False
Ql4i,35.0,15.0,11,24,1.5594541910331383,0.0,0.0,4.53,0.0,0.0,2.61,3.936,2.731,0.928,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,12,165,10.721247563352826,12.91,12.91,6.73,12.87,12.91,10.0,0.25,2.731,0.236,2.296,-,False
Ql4i,35.0,15.0,13,3,0.1949317738791423,0.0,0.0,1.53,0.0,0.0,0.25,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,14,8,0.5198180636777128,0.0,0.0,1.58,0.0,0.0,0.3,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,15,13,0.8447043534762833,0.0,0.0,1.67,0.0,0.0,0.31,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,16,10,0.649772579597141,0.0,0.0,1.61,0.0,0.0,0.31,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,17,12,0.7797270955165692,0.0,0.0,4.26,0.0,0.0,2.17,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,18,133,8.641975308641975,12.12,12.13,6.32,12.16,11.9,9.45,0.25,2.731,0.264,2.296,-,False
Ql4i,35.0,15.0,19,4,0.2599090318388564,0.0,0.0,4.25,0.0,0.0,2.6,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,20,184,11.955815464587394,12.12,12.12,6.32,12.16,12.34,9.45,0.25,2.731,0.264,2.296,-,False
